startup,industry,subvertical,city,investors,round,amount,date,year,month
BlueTech,AgriTech,Supply Chain,Noida,Elevation Capital,Series A,28.42,2023-01-30,2023,1
CRED,Logistics,Last Mile,Gurugram,Y Combinator,Series B,236.43,2022-09-24,2022,9
FinSpace,AgriTech,Supply Chain,Gurugram,Ribbit Capital,Seed,3.59,2022-07-11,2022,7
BigBasket,Media,Streaming,Delhi,Peak XV,Series A,95.26,2022-01-16,2022,1
Lenskart,FinTech,WealthTech,Gurugram,"Elevation Capital, Ribbit Capital, Y Combinator",Series C,187.74,2023-12-29,2023,12
FreshBox,Consumer Electronics,Wearables,Pune,"Accel, Ribbit Capital",Series C,355.26,2022-09-24,2022,9
HealthRise,Enterprise,Analytics,Noida,"Sequoia Capital India, Tiger Global",Seed,13.83,2024-02-11,2024,2
ClearDekho,RealEstate,PropTech,Ahmedabad,"Lightspeed India, Sequoia Capital India",Series A,92.5,2024-04-24,2024,4
Swiggy,Mobility,Micro Mobility,Kolkata,Kalaari Capital,Series B,146.79,2020-10-31,2020,10
Cars24,HealthTech,Health Analytics,Noida,Falcon Edge,Series A,44.5,2022-03-23,2022,3
MediWorks,Retail,Fashion,Delhi,"A91 Partners, Blume Ventures",Series C,351.83,2020-10-14,2020,10
GreenConnect,Consumer Electronics,Wearables,Bengaluru,Tiger Global,Seed,0.83,2022-09-25,2022,9
Nykaa,EdTech,Test Prep,Gurugram,Kalaari Capital,Series A,29.13,2024-06-08,2024,6
AutoFlow,FinTech,WealthTech,Mumbai,"Matrix Partners India, Zodius Capital",Series B,110.54,2022-12-03,2022,12
NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,3.18,2023-08-31,2023,8
UrbanSolutions,EdTech,Coding Bootcamp,Pune,"Bessemer Venture Partners, LCatterton",Series C,204.89,2021-12-07,2021,12
MediHive,HealthTech,Health Analytics,Delhi,"Blume Ventures, Elevation Capital, Nexus Venture Partners",Seed,15.11,2022-11-19,2022,11
Housejoy,RealEstate,PropTech,Chennai,Mirae Asset,Series C,2398.73,2024-01-15,2024,1
GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,0.83,2020-03-29,2020,3
BharatPe,HealthTech,Telemedicine,Ahmedabad,LCatterton,Seed,3.0,2020-12-06,2020,12
CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,939.3,2024-01-30,2024,1
CoreSpace,HealthTech,Diagnostics,Chennai,"Blume Ventures, Zodius Capital",Series A,75.19,2024-06-15,2024,6
CureFit,HealthTech,Pharmacy,Kolkata,Y Combinator,Series A,53.01,2020-05-20,2020,5
LogiSense,EdTech,Coding Bootcamp,Delhi,"LCatterton, Omidyar Network",Series A,12.89,2020-12-29,2020,12
AeroAnalytics,E-commerce,Fashion,Delhi,LCatterton,Angel,0.64,2023-01-09,2023,1
Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,3637.32,2023-11-29,2023,11
AgriHive,FoodTech,Food Delivery,Ahmedabad,"A91 Partners, Info Edge, Matrix Partners India",Series C,2173.5,2025-02-02,2025,2
PharmEasy,Enterprise,Analytics,Hyderabad,"Matrix Partners India, Sequoia Capital India",Series A,59.24,2023-01-18,2023,1
MediHive,E-commerce,Grocery,Bengaluru,"Accel, Bessemer Venture Partners, Kalaari Capital",Pre-Series A,3.41,2021-02-24,2021,2
DriveLoop,Logistics,Supply Chain,Noida,"Elevation Capital, Prosus Ventures",Pre-Series A,2.17,2022-01-18,2022,1
CoreFlow,Retail,Fashion,Kolkata,"Mirae Asset, Tiger Global Management",Seed,12.95,2023-02-19,2023,2
FoodSolutions,FoodTech,Grocery,Delhi,Ventures India,Series D,3048.68,2023-09-12,2023,9
EduMart,HealthTech,Telemedicine,Gurugram,Bessemer Venture Partners,Series A,9.38,2024-05-28,2024,5
Udaan,HealthTech,Health Analytics,Bengaluru,Mirae Asset,Series C,178.28,2024-08-13,2024,8
DriveEdge,Logistics,Last Mile,Pune,"Omidyar Network, Tiger Global Management, Y Combinator",Seed,1.66,2020-03-18,2020,3
SmartTech,AgriTech,Supply Chain,Delhi,Lightspeed India,Series B,392.69,2022-06-18,2022,6
SmartTech,Retail,Fashion,Noida,"Blume Ventures, Sequoia Capital India",Series A,120.28,2021-04-19,2021,4
MediWorks,HealthTech,Telemedicine,Hyderabad,"Falcon Edge, Kalaari Capital, Omidyar Network",Series C,249.46,2021-12-24,2021,12
CRED,E-commerce,Grocery,Hyderabad,"Tiger Global Management, Y Combinator",Series B,215.5,2023-02-19,2023,2
SkillSolutions,EdTech,Coding Bootcamp,Chennai,Kalaari Capital,Series A,23.28,2021-06-18,2021,6
AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,14.86,2024-07-02,2024,7
AutoStack,FoodTech,Grocery,Kolkata,Peak XV,Series C,1623.74,2024-03-31,2024,3
LogiRise,AgriTech,Supply Chain,Kolkata,"Ribbit Capital, Tiger Global Management",Seed,9.15,2020-05-18,2020,5
HomeFoods,FoodTech,Food Delivery,Noida,Matrix Partners India,Series A,29.53,2023-12-06,2023,12
Bounce,FoodTech,Grocery,Pune,Mirae Asset,Seed,1.92,2025-03-22,2025,3
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,1.14,2023-10-31,2023,10
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,0.51,2024-09-05,2024,9
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,0.56,2023-10-16,2023,10
Razorpay,Enterprise,Security,Pune,"IFC, Mirae Asset",Series A,75.01,2022-10-05,2022,10
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,16.58,2024-06-24,2024,6
AeroAnalytics,Enterprise,Automation,Delhi,"Falcon Edge, Sequoia Capital India, SoftBank Vision Fund",Series A,123.37,2020-09-03,2020,9
FarmTech,E-commerce,D2C,Pune,A91 Partners,Series A,37.35,2021-06-15,2021,6
FinSpace,AgriTech,Smart Farming,Pune,Kalaari Capital,Seed,7.08,2022-05-18,2022,5
NimbusWorks,FoodTech,Food Delivery,Kolkata,"Prosus Ventures, Zodius Capital",Seed,13.54,2020-09-25,2020,9
SkillFlow,Mobility,EV,Chennai,"Bessemer Venture Partners, Blume Ventures, Nexus Venture Partners",Seed,9.54,2024-06-26,2024,6
Chargebee,HealthTech,Pharmacy,Kolkata,"Accel, Tiger Global",Seed,1.04,2023-02-25,2023,2
BharatPe,FinTech,Lending,Hyderabad,Info Edge,Series A,28.12,2023-07-13,2023,7
WorkStack,SaaS,HRTech,Pune,IFC,Pre-Seed,0.22,2020-09-05,2020,9
BlueRise,RealEstate,Rental Tech,Noida,Y Combinator,Seed,14.01,2024-05-17,2024,5
Myntra,Retail,Fashion,Kolkata,"Elevation Capital, Ribbit Capital",Private Equity,3351.61,2022-02-19,2022,2
GreenConnect,RealEstate,Home Services,Chennai,"IFC, Tiger Global",Series B,78.23,2023-03-16,2023,3
BharatPe,SaaS,DevTools,Pune,"Elevation Capital, Matrix Partners India, Ribbit Capital",Seed,4.95,2021-08-19,2021,8
Ola,Retail,Grocery,Ahmedabad,"Blume Ventures, IFC",Series A,44.26,2022-07-11,2022,7
FreshSolutions,RealEstate,Home Services,Mumbai,Accel,Seed,1.55,2022-03-24,2022,3
FarmBox,FinTech,InsurTech,Noida,Matrix Partners India,Series C,225.77,2020-06-19,2020,6
HyperLoop,FoodTech,Food Delivery,Gurugram,"Nexus Venture Partners, Ribbit Capital",Seed,4.94,2021-08-04,2021,8
Lenskart,FinTech,Payments,Pune,"IFC, Mirae Asset",Growth,1638.28,2021-10-28,2021,10
SkillFlow,HealthTech,Diagnostics,Ahmedabad,"A91 Partners, Falcon Edge, Ribbit Capital",Series A,67.21,2023-07-16,2023,7
FreshTech,Consumer Electronics,Smart Home,Gurugram,Y Combinator,Series C,679.0,2022-06-23,2022,6
Swiggy,HealthTech,Pharmacy,Bengaluru,SoftBank Vision Fund,Pre-Seed,1.18,2024-07-27,2024,7
CoreSpace,Media,Content,Kolkata,"Bessemer Venture Partners, Omidyar Network",Seed,3.18,2024-04-17,2024,4
MediHive,EdTech,Coding Bootcamp,Noida,Kedaara Capital,Series A,37.91,2021-05-26,2021,5
UrbanDrive,EdTech,UpSkilling,Mumbai,"LCatterton, Ventures India",Pre-Series A,6.25,2021-05-05,2021,5
SkillFlow,Media,Streaming,Hyderabad,Blume Ventures,Pre-Series A,2.1,2024-10-13,2024,10
Cars24,E-commerce,Fashion,Ahmedabad,"Mirae Asset, SoftBank Vision Fund",Series A,11.94,2023-12-05,2023,12
WorkPay_557,Mobility,Ride Sharing,Delhi,Nexus Venture Partners,Bridge,0.46,2021-07-31,2021,7
Dailyhunt,Media,Social,Gurugram,"Kalaari Capital, Lightspeed India",Seed,6.72,2020-01-31,2020,1
Chargebee,SaaS,MarTech,Bengaluru,Tiger Global,Seed,4.09,2024-09-23,2024,9
DriveFit_560,Consumer Electronics,Audio,Gurugram,"Nexus Venture Partners, Zodius Capital",Angel,0.34,2021-05-27,2021,5
LogiMart,Consumer Electronics,Audio,Bengaluru,Falcon Edge,Seed,0.91,2024-02-14,2024,2
FarmTech,RealEstate,Home Services,Pune,Ventures India,Seed,0.69,2024-01-31,2024,1
NeoTech,RealEstate,Home Services,Gurugram,"Accel, Lightspeed India, Ribbit Capital",Pre-Series A,0.85,2020-04-16,2020,4
NeoSense_564,Retail,Grocery,Ahmedabad,Sequoia Capital India,Seed,1.51,2024-06-04,2024,6
Razorpay,AgriTech,Marketplace,Kolkata,Bessemer Venture Partners,Series B,213.0,2020-11-13,2020,11
LogiMart,E-commerce,Grocery,Pune,"Blume Ventures, Tiger Global, Y Combinator",Angel,0.13,2024-04-04,2024,4
AeroStack,EdTech,UpSkilling,Noida,Bessemer Venture Partners,Series C,542.77,2024-03-29,2024,3
Dailyhunt,Media,Social,Bengaluru,"LCatterton, Mirae Asset, Nexus Venture Partners",Series B,509.06,2022-01-03,2022,1
Dailyhunt,Mobility,EV,Noida,"Blume Ventures, Y Combinator",Series B,108.99,2021-01-23,2021,1
InMobi,Logistics,Fleet Management,Noida,Info Edge,Seed,2.76,2022-12-23,2022,12
CureFit,Mobility,EV,Kolkata,"Blume Ventures, Y Combinator",Pre-Seed,1.01,2023-07-30,2023,7
PhonePe,AgriTech,Smart Farming,Ahmedabad,Prosus Ventures,Seed,1.79,2024-01-16,2024,1
UrbanDrive,RealEstate,Home Services,Noida,Kalaari Capital,Seed,4.12,2021-08-02,2021,8
AgriSense,Mobility,Micro Mobility,Mumbai,Blume Ventures,Pre-Seed,1.21,2025-04-04,2025,4
GreenMart,Consumer Electronics,Audio,Mumbai,"Falcon Edge, Prosus Ventures",Pre-Seed,1.48,2023-08-07,2023,8
CloudSolutions_576,EdTech,Test Prep,Bengaluru,"Accel, LCatterton, Mirae Asset",Angel,0.07,2021-03-03,2021,3
HealthWorks,Media,Content,Pune,"Matrix Partners India, Tiger Global",Series C,2041.08,2020-04-29,2020,4
Groww,Enterprise,Security,Mumbai,"Accel, Kedaara Capital",Bridge,2.55,2025-05-21,2025,5
AeroHub,Mobility,Micro Mobility,Gurugram,A91 Partners,Series A,16.7,2025-04-24,2025,4
SkillRise,Retail,Fashion,Ahmedabad,"Blume Ventures, IFC, Prosus Ventures",Pre-Series A,2.39,2022-07-28,2022,7
BlueTech,Mobility,EV,Delhi,"LCatterton, Peak XV",Series A,117.94,2023-05-13,2023,5
NeoSense,FoodTech,Grocery,Chennai,"A91 Partners, Matrix Partners India",Series C,630.19,2021-10-24,2021,10
UrbanSolutions,Media,Content,Pune,Sequoia Capital India,Bridge,1.39,2022-07-05,2022,7
HealthAnalytics,Mobility,Ride Sharing,Hyderabad,IFC,Pre-Seed,0.71,2021-03-30,2021,3
DataAnalytics,Media,Content,Noida,"Blume Ventures, Sequoia Capital India",Series A,15.9,2023-03-14,2023,3
Licious,HealthTech,Diagnostics,Hyderabad,Matrix Partners India,Pre-Series A,0.99,2023-04-07,2023,4
Delhivery,E-commerce,Grocery,Chennai,"Accel, Mirae Asset, SoftBank Vision Fund",Series A,11.77,2021-03-21,2021,3
Myntra,Enterprise,Automation,Ahmedabad,"Ribbit Capital, Sequoia Capital India",Series C,234.8,2020-07-14,2020,7
QuantumAnalytics_589,FinTech,WealthTech,Pune,"Nexus Venture Partners, Peak XV",Growth,619.65,2022-06-08,2022,6
HomeFoods,Enterprise,Automation,Bengaluru,"Falcon Edge, Tiger Global",Series B,60.98,2023-07-18,2023,7
FoodLoop,HealthTech,Pharmacy,Noida,Prosus Ventures,Series B,245.32,2020-11-09,2020,11
DriveFit,Retail,Fashion,Ahmedabad,"Elevation Capital, Kalaari Capital",Series A,13.58,2021-03-30,2021,3
LogiSense,Consumer Electronics,Smart Home,Bengaluru,Kalaari Capital,Series A,21.16,2021-06-21,2021,6
DriveEdge,HealthTech,Diagnostics,Kolkata,"Lightspeed India, Ribbit Capital",Series A,94.14,2022-09-26,2022,9
LogiMart,Logistics,Supply Chain,Pune,Accel,Series B,154.44,2023-03-25,2023,3
Flipkart,FoodTech,Food Delivery,Pune,"Bessemer Venture Partners, Prosus Ventures",Seed,4.87,2021-12-06,2021,12
Lenskart,SaaS,MarTech,Ahmedabad,Lightspeed India,Seed,0.78,2020-04-01,2020,4
NimbusWorks,Media,Social,Mumbai,"IFC, Peak XV",Series B,70.72,2021-05-12,2021,5
SmartTech_599,Media,Social,Hyderabad,Lightspeed India,Series A,9.27,2020-02-16,2020,2
Meesho,EdTech,UpSkilling,Noida,Kedaara Capital,Series A,13.11,2024-02-03,2024,2
PhonePe,FoodTech,Grocery,Noida,Elevation Capital,Pre-Seed,0.32,2020-12-14,2020,12
SkillFlow_602,RealEstate,PropTech,Mumbai,"IFC, Prosus Ventures",Pre-Series A,1.25,2021-07-09,2021,7
PhonePe,Logistics,Fleet Management,Chennai,"Accel, Tiger Global Management",Seed,0.57,2022-02-18,2022,2
HyperLabs,AgriTech,Marketplace,Mumbai,"A91 Partners, Kedaara Capital",Seed,0.65,2022-10-22,2022,10
Razorpay,EdTech,UpSkilling,Pune,Sequoia Capital India,Series A,28.91,2024-03-04,2024,3
AgriFit,Logistics,Last Mile,Noida,"Kalaari Capital, Matrix Partners India, Tiger Global Management",Seed,0.89,2020-05-06,2020,5
ClearTax,Mobility,EV,Gurugram,"Accel, Prosus Ventures",Seed,1.59,2025-01-11,2025,1
QuantumAnalytics,RealEstate,Rental Tech,Gurugram,Info Edge,Pre-Series A,2.65,2023-03-19,2023,3
FreshTech,SaaS,MarTech,Noida,Omidyar Network,Seed,5.3,2023-08-29,2023,8
CloudPay,Logistics,Fleet Management,Noida,Prosus Ventures,Angel,0.05,2022-05-30,2022,5
NextSense,Mobility,Micro Mobility,Mumbai,Kedaara Capital,Seed,7.92,2024-09-15,2024,9
FoodLoop,FoodTech,Food Delivery,Hyderabad,"Bessemer Venture Partners, Elevation Capital, Peak XV",Series A,45.45,2025-03-27,2025,3
AeroStack,FinTech,NeoBank,Ahmedabad,Matrix Partners India,Seed,0.56,2023-03-07,2023,3
GrowthFlow,Media,Content,Delhi,"Kedaara Capital, Y Combinator",Series A,88.4,2023-05-23,2023,5
UrbanDrive,HealthTech,Diagnostics,Gurugram,Peak XV,Seed,12.4,2022-04-16,2022,4
Flipkart,EdTech,K12,Gurugram,"IFC, Mirae Asset",Seed,0.52,2025-03-13,2025,3
NeoSense,EdTech,Coding Bootcamp,Chennai,"Kalaari Capital, Kedaara Capital, Zodius Capital",Series C,351.35,2023-05-30,2023,5
GrowthConnect,Consumer Electronics,Wearables,Bengaluru,"Falcon Edge, Tiger Global Management",Growth,3483.84,2021-05-18,2021,5
Razorpay,Mobility,EV,Noida,Blume Ventures,Series C,1259.3,2025-05-25,2025,5
Dailyhunt,FoodTech,Food Delivery,Hyderabad,Omidyar Network,Series A,13.68,2022-05-15,2022,5
Udaan,Media,Streaming,Delhi,"Accel, Falcon Edge",Series A,14.63,2023-08-16,2023,8
BlueTech,Media,Streaming,Delhi,"Info Edge, Sequoia Capital India",Pre-Series A,1.95,2021-10-24,2021,10
CloudPay,E-commerce,D2C,Pune,"Bessemer Venture Partners, Kedaara Capital, Nexus Venture Partners",Series B,159.03,2025-01-31,2025,1
Porter,Media,Content,Pune,"Kedaara Capital, Tiger Global Management",Seed,4.06,2023-12-19,2023,12
NextSense,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, IFC, Nexus Venture Partners",Angel,0.12,2023-03-04,2023,3
Udaan,FoodTech,Food Delivery,Hyderabad,"Blume Ventures, Elevation Capital",Series B,149.62,2025-05-22,2025,5
LogiSense,FinTech,NeoBank,Hyderabad,"A91 Partners, Sequoia Capital India",Pre-Seed,0.93,2022-10-16,2022,10
NimbusLabs,AgriTech,Marketplace,Kolkata,Omidyar Network,Series A,9.16,2022-06-23,2022,6
MediHive,Mobility,EV,Ahmedabad,Tiger Global,Series A,16.44,2024-08-06,2024,8
GreenConnect_630,SaaS,B2B SaaS,Delhi,"Elevation Capital, Zodius Capital",Series D,2144.85,2023-09-28,2023,9
Unacademy,FinTech,Payments,Chennai,"Elevation Capital, Kedaara Capital, Prosus Ventures",Debt,216.38,2020-11-26,2020,11
EduTech,Media,Streaming,Pune,SoftBank Vision Fund,Angel,0.19,2020-07-09,2020,7
QuantumAnalytics,Retail,Grocery,Noida,Nexus Venture Partners,Seed,2.95,2022-08-22,2022,8
SkillSolutions,FoodTech,Grocery,Gurugram,Accel,Series B,55.86,2023-06-07,2023,6
Unacademy,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Angel,0.16,2023-12-18,2023,12
FoodLoop,AgriTech,Marketplace,Pune,"Kedaara Capital, Mirae Asset",Angel,0.21,2023-06-12,2023,6
Chargebee,Consumer Electronics,Audio,Ahmedabad,Sequoia Capital India,Seed,1.01,2021-08-17,2021,8
GrowthFlow,Retail,E-Retail,Gurugram,"Tiger Global, Y Combinator",Series C,344.16,2022-04-29,2022,4
Meesho,FinTech,Lending,Hyderabad,Elevation Capital,Seed,1.67,2020-05-18,2020,5
AgriSense,E-commerce,D2C,Pune,"Peak XV, Zodius Capital",Pre-Series A,0.87,2023-03-11,2023,3
CloudLabs,SaaS,MarTech,Kolkata,Mirae Asset,Series C,397.11,2023-08-15,2023,8
LogiRise,Mobility,EV,Kolkata,"A91 Partners, Falcon Edge, Tiger Global",Series C,294.3,2022-04-27,2022,4
HyperLabs,FinTech,Lending,Ahmedabad,Tiger Global,Series B,102.9,2024-06-25,2024,6
WorkPay,FinTech,WealthTech,Chennai,A91 Partners,Series A,11.48,2024-09-21,2024,9
UrbanDrive,E-commerce,D2C,Pune,"Accel, IFC",Series B,490.17,2021-07-10,2021,7
NimbusWorks,Logistics,Last Mile,Noida,Bessemer Venture Partners,Seed,3.71,2020-08-17,2020,8
CloudPay,Consumer Electronics,Smart Home,Bengaluru,"Blume Ventures, SoftBank Vision Fund",Series C,1044.22,2025-01-27,2025,1
AgriHive,Mobility,EV,Pune,Zodius Capital,Seed,7.63,2024-11-20,2024,11
LogiSense,FinTech,InsurTech,Chennai,Sequoia Capital India,Series B,165.29,2022-12-05,2022,12
FarmFit,AgriTech,Supply Chain,Pune,Falcon Edge,Series A,10.5,2020-04-04,2020,4
FreshTech_651,Retail,Grocery,Gurugram,Elevation Capital,Seed,3.01,2021-01-29,2021,1
FoodLoop,RealEstate,PropTech,Hyderabad,Sequoia Capital India,Seed,3.62,2021-07-14,2021,7
Zomato,EdTech,UpSkilling,Noida,"A91 Partners, Bessemer Venture Partners, Blume Ventures",Seed,6.49,2020-10-16,2020,10
FreshTech,SaaS,MarTech,Bengaluru,"Accel, Tiger Global, Y Combinator",Seed,2.04,2022-08-22,2022,8
DriveFit,AgriTech,Marketplace,Kolkata,Zodius Capital,Series A,11.73,2021-10-01,2021,10
HealthRise,Retail,Grocery,Ahmedabad,"Info Edge, Mirae Asset, Prosus Ventures",Seed,1.18,2024-07-22,2024,7
InMobi,Consumer Electronics,Audio,Gurugram,"Matrix Partners India, Y Combinator",Seed,1.59,2025-01-08,2025,1
BlueTech,RealEstate,Home Services,Pune,Mirae Asset,Series A,47.72,2020-03-02,2020,3
NextFlow,Enterprise,Analytics,Hyderabad,"Accel, Nexus Venture Partners",Series C,778.75,2023-05-22,2023,5
AeroStack,RealEstate,PropTech,Hyderabad,"Kalaari Capital, Ribbit Capital",Series A,21.77,2022-03-31,2022,3
NextSense,FoodTech,Cloud Kitchen,Pune,"Info Edge, Tiger Global Management",Seed,15.79,2023-11-22,2023,11
DataHive,EdTech,K12,Mumbai,"Accel, Zodius Capital",Series B,222.57,2023-12-28,2023,12
SmartMart,E-commerce,Fashion,Delhi,Omidyar Network,Seed,1.0,2022-04-11,2022,4
QuantumAnalytics,RealEstate,Rental Tech,Bengaluru,LCatterton,Seed,0.61,2024-07-31,2024,7
Rapido,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital",Series A,12.56,2021-08-19,2021,8
CoreFlow,SaaS,HRTech,Ahmedabad,LCatterton,Series C,323.13,2023-10-23,2023,10
DriveEdge,SaaS,B2B SaaS,Ahmedabad,IFC,Pre-Seed,0.24,2022-11-11,2022,11
HealthWorks,Mobility,Ride Sharing,Bengaluru,Accel,Series B,69.61,2024-08-07,2024,8
HealthAnalytics,EdTech,Coding Bootcamp,Ahmedabad,"A91 Partners, Y Combinator",Pre-Series A,1.6,2021-10-13,2021,10
NoBroker,Consumer Electronics,Audio,Gurugram,Zodius Capital,Series A,13.27,2024-09-23,2024,9
HyperLoop,Enterprise,Automation,Delhi,"Kedaara Capital, Mirae Asset, Sequoia Capital India",Seed,11.35,2020-05-26,2020,5
DriveEdge,HealthTech,Telemedicine,Delhi,"Kedaara Capital, LCatterton",Series B,51.84,2022-05-01,2022,5
Innovaccer,AgriTech,Supply Chain,Kolkata,"Kalaari Capital, Lightspeed India",Series A,34.35,2023-02-04,2023,2
Innovaccer,AgriTech,Supply Chain,Ahmedabad,Kedaara Capital,Series A,25.22,2024-02-05,2024,2
NextStack,Mobility,Micro Mobility,Pune,"Mirae Asset, Y Combinator",Pre-Seed,1.59,2020-03-18,2020,3
AgriHive,E-commerce,Marketplace,Noida,Mirae Asset,Debt,1.67,2024-03-17,2024,3
HealthRise,AgriTech,Supply Chain,Gurugram,"Accel, Peak XV, Ribbit Capital",Series A,24.38,2024-02-27,2024,2
FreshTech,SaaS,B2B SaaS,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,114.62,2025-01-29,2025,1
AgriFit,Retail,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Seed,10.11,2023-11-24,2023,11
Swiggy,FinTech,InsurTech,Ahmedabad,"Ribbit Capital, Tiger Global Management, Zodius Capital",Seed,8.46,2020-04-15,2020,4
SmartTech,HealthTech,Telemedicine,Hyderabad,Elevation Capital,Seed,1.07,2023-06-15,2023,6
CloudSolutions_682,E-commerce,Grocery,Delhi,Prosus Ventures,Angel,0.07,2024-02-22,2024,2
Nykaa,Retail,E-Retail,Hyderabad,"Blume Ventures, Falcon Edge",Series C,1015.07,2021-04-28,2021,4
GreenMart,E-commerce,Marketplace,Ahmedabad,"Kalaari Capital, Ventures India",Angel,0.67,2020-11-11,2020,11
AeroHub,Consumer Electronics,Smart Home,Delhi,Tiger Global,Seed,3.24,2024-02-12,2024,2
CureFit,Retail,E-Retail,Bengaluru,"Elevation Capital, Ventures India",Seed,3.42,2022-03-27,2022,3
PharmEasy,FoodTech,Grocery,Chennai,"IFC, Sequoia Capital India",Series A,17.71,2020-10-24,2020,10
EduMart,SaaS,B2B SaaS,Mumbai,Peak XV,Angel,0.42,2023-07-29,2023,7
Paytm,AgriTech,Marketplace,Hyderabad,Matrix Partners India,Seed,0.83,2021-06-30,2021,6
DriveFit,RealEstate,Rental Tech,Gurugram,Falcon Edge,Series B,101.81,2023-04-20,2023,4
BlueTech,FinTech,Payments,Mumbai,"Accel, Info Edge",Pre-Seed,0.44,2020-07-19,2020,7
HomeAnalytics,Logistics,Last Mile,Bengaluru,Peak XV,Pre-Seed,0.53,2020-07-07,2020,7
GreenEdge,RealEstate,PropTech,Mumbai,Y Combinator,Seed,1.01,2023-05-23,2023,5
DataEdge,Media,Social,Hyderabad,Ribbit Capital,Seed,0.63,2023-09-14,2023,9
SkillSolutions,Media,Streaming,Pune,Elevation Capital,Seed,3.95,2024-05-17,2024,5
HealthWorks,SaaS,B2B SaaS,Hyderabad,Info Edge,Bridge,1.2,2021-06-26,2021,6
NeoLabs,EdTech,Coding Bootcamp,Delhi,A91 Partners,Series B,207.93,2020-08-10,2020,8
Paytm,EdTech,Test Prep,Kolkata,Tiger Global,Series B,63.67,2020-07-30,2020,7
AutoStack,FinTech,InsurTech,Delhi,Prosus Ventures,Series B,157.54,2020-01-02,2020,1
NextStack,SaaS,MarTech,Ahmedabad,"Kalaari Capital, Mirae Asset",Pre-Seed,0.56,2023-12-20,2023,12
CRED,Mobility,Ride Sharing,Bengaluru,"Falcon Edge, Nexus Venture Partners",Pre-Series A,0.94,2023-11-12,2023,11
Licious,SaaS,HRTech,Chennai,"Accel, Falcon Edge, Peak XV",Seed,1.44,2025-05-17,2025,5
HealthRise,Retail,Grocery,Gurugram,"Elevation Capital, Prosus Ventures",Seed,0.68,2020-03-21,2020,3
UrbanDrive,RealEstate,Rental Tech,Pune,"Blume Ventures, Info Edge, Sequoia Capital India",Series A,9.85,2024-12-17,2024,12
GrowthFlow,AgriTech,Supply Chain,Kolkata,"Mirae Asset, Ribbit Capital",Pre-Series A,8.11,2024-06-11,2024,6
EduBox,FinTech,Payments,Pune,"Bessemer Venture Partners, Nexus Venture Partners, Tiger Global",Seed,1.36,2024-06-01,2024,6
LogiRise,Enterprise,Automation,Delhi,Sequoia Capital India,Series B,391.95,2021-04-22,2021,4
SmartCare,FinTech,InsurTech,Ahmedabad,"Blume Ventures, Nexus Venture Partners, Tiger Global",Pre-Seed,0.3,2023-12-07,2023,12
BigBasket,Enterprise,Analytics,Kolkata,"Tiger Global, Zodius Capital",Series A,52.56,2024-09-06,2024,9
Porter,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Seed,6.86,2024-07-05,2024,7
FoodFit,RealEstate,Rental Tech,Noida,Ventures India,Seed,3.74,2024-09-09,2024,9
NoBroker,SaaS,B2B SaaS,Mumbai,"Blume Ventures, Y Combinator",Seed,2.37,2024-03-31,2024,3
Dream11,Consumer Electronics,Audio,Ahmedabad,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Pre-Seed,0.43,2020-07-23,2020,7
Myntra,E-commerce,Quick Commerce,Bengaluru,"Kalaari Capital, LCatterton, Ribbit Capital",Seed,1.5,2020-07-01,2020,7
FarmBox,EdTech,K12,Hyderabad,Peak XV,Series A,102.87,2022-04-23,2022,4
GrowthConnect,Media,Content,Ahmedabad,Y Combinator,Bridge,8.89,2023-07-08,2023,7
MediHive,EdTech,Test Prep,Noida,IFC,Bridge,14.59,2023-06-21,2023,6
ClearDekho,EdTech,Coding Bootcamp,Gurugram,Bessemer Venture Partners,Seed,0.66,2021-01-31,2021,1
FarmBox,HealthTech,Telemedicine,Bengaluru,Info Edge,Series B,314.84,2021-08-06,2021,8
WorkStack,Retail,Grocery,Bengaluru,"Bessemer Venture Partners, Blume Ventures",Seed,13.22,2020-04-17,2020,4
Myntra,Mobility,Ride Sharing,Mumbai,"Omidyar Network, SoftBank Vision Fund",Angel,0.07,2024-01-17,2024,1
BlueRise,SaaS,DevTools,Mumbai,Ventures India,Seed,0.53,2020-07-19,2020,7
CloudPay,EdTech,Test Prep,Kolkata,"Nexus Venture Partners, Peak XV",Series A,61.76,2020-04-21,2020,4
